,name,borough,longitude,latitude
0,Wakefield,Bronx,-73.8472005205491,40.89470517661004
1,Co-op City,Bronx,-73.82993910812405,40.87429419303015
2,Eastchester,Bronx,-73.82780644716419,40.88755567735082
3,Fieldston,Bronx,-73.90564259591689,40.895437426903875
4,Riverdale,Bronx,-73.91258546108577,40.89083449389134
5,Kingsbridge,Bronx,-73.90281798724611,40.88168737120525
6,Marble Hill,Manhattan,-73.91065965862988,40.87655077879968
7,Woodlawn,Bronx,-73.86731496814183,40.898272612138086
8,Norwood,Bronx,-73.87939073956817,40.877224155994504
9,Williamsbridge,Bronx,-73.85744642974214,40.88103887819214
10,Baychester,Bronx,-73.83579759808124,40.86685810725274
11,Pelham Parkway,Bronx,-73.85475564018006,40.85741349808869
12,City Island,Bronx,-73.7864884526742,40.84724670491817
13,Bedford Park,Bronx,-73.88551218419137,40.87018516497537
14,University Heights,Bronx,-73.91041596191317,40.85572707719668
15,Morris Heights,Bronx,-73.91967159119572,40.84789792606274
16,Fordham,Bronx,-73.8964265598163,40.86099679638657
17,East Tremont,Bronx,-73.88735617532345,40.84269615786057
18,West Farms,Bronx,-73.87774474910552,40.83947505672657
19,High  Bridge,Bronx,-73.92610209358138,40.8366230107061
20,Melrose,Bronx,-73.90942160757443,40.81975437059498
21,Mott Haven,Bronx,-73.91609987487583,40.80623874935181
22,Port Morris,Bronx,-73.91322139386142,40.80166362775625
23,Longwood,Bronx,-73.89578820094466,40.815099045458254
24,Hunts Point,Bronx,-73.88331505955298,40.809729879387135
25,Morrisania,Bronx,-73.90150648943066,40.82359198585537
26,Soundview,Bronx,-73.86574609554933,40.82101219791406
27,Clason Point,Bronx,-73.85414416189273,40.806551120035934
28,Throgs Neck,Bronx,-73.8163500215845,40.815109258040096
29,Country Club,Bronx,-73.82409926753857,40.84424593694742
30,Parkchester,Bronx,-73.8560031053579,40.83793782226733
31,Westchester Square,Bronx,-73.8421940760445,40.840619496432744
32,Van Nest,Bronx,-73.86629918075617,40.84360847124722
33,Morris Park,Bronx,-73.85040178030428,40.84754906353638
34,Belmont,Bronx,-73.88845196134812,40.85727710073898
35,Spuyten Duyvil,Bronx,-73.917190482104,40.8813949772709
36,North Riverdale,Bronx,-73.90453054908934,40.9085428295067
37,Pelham Bay,Bronx,-73.83207378240478,40.85064140940339
38,Schuylerville,Bronx,-73.82620275994081,40.82657951686926
39,Edgewater Park,Bronx,-73.81388514428627,40.82198611816354
40,Castle Hill,Bronx,-73.84802729582742,40.81901437698835
41,Olinville,Bronx,-73.86332361652784,40.87137078192375
42,Pelham Gardens,Bronx,-73.8416119483123,40.862965624780024
43,Concourse,Bronx,-73.91558941773451,40.834283807338544
44,Unionport,Bronx,-73.85053524451942,40.82977429787165
45,Edenwald,Bronx,-73.84808271877175,40.88456130303736
46,Bay Ridge,Brooklyn,-74.03062069353821,40.62580106501069
47,Bensonhurst,Brooklyn,-73.99517998380736,40.61100890202048
48,Sunset Park,Brooklyn,-74.01031618527792,40.64510294925433
49,Greenpoint,Brooklyn,-73.954240931274,40.730200984864744
50,Gravesend,Brooklyn,-73.97347087708452,40.59526001306597
51,Brighton Beach,Brooklyn,-73.96509448785343,40.576825065666085
52,Sheepshead Bay,Brooklyn,-73.94318640482987,40.58689012678388
53,Manhattan Terrace,Brooklyn,-73.95743840559946,40.61443251335102
54,Flatbush,Brooklyn,-73.95840106533912,40.63632589026681
55,Crown Heights,Brooklyn,-73.9432911907359,40.67082917695298
56,East Flatbush,Brooklyn,-73.93610256185843,40.64171776668965
57,Kensington,Brooklyn,-73.98042110559481,40.64238195800357
58,Windsor Terrace,Brooklyn,-73.98007340430179,40.65694583575108
